Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_pct,net_total,days_since_purchase
Middle East and North Africa,Azerbaijan,Snacks,Online,C,2014-10-08,535113847,2014-10-23,934,152.58,97.44,142509.72,91008.96,51500.76,2014-10-08,535113847,Snacks,152.58,934,SAVE15,Azerbaijan,15,121133.262,4009
Central America and the Caribbean,Panama,Cosmetics,Offline,L,2015-02-22,874708545,2015-02-27,4551,437.2,263.33,1989697.2,1198414.83,791282.37,2015-02-22,874708545,Cosmetics,437.2,4551,NOCOUP,Panama,0,1989697.2,3872
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,M,2015-12-09,854349935,2016-01-18,9986,9.33,6.92,93169.38,69103.12,24066.26,2015-12-09,854349935,Fruits,9.33,9986,SAVE10,Sao Tome And Principe,10,83852.44200000001,3582
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,Online,M,2014-09-17,892836844,2014-10-12,9118,81.73,56.67,745214.14,516717.06,228497.08,2014-09-17,892836844,Personal Care,81.73,9118,SAVE10,Sao Tome And Principe,10,670692.726,4030
Central America and the Caribbean,Belize,Household,Offline,H,2010-02-04,129280602,2010-03-05,5858,668.27,502.54,3914725.66,2943879.32,970846.34,2010-02-04,129280602,Household,668.27,5858,SAVE15,Belize,15,3327516.8109999998,5716
Europe,Denmark,Clothes,Online,C,2013-02-20,473105037,2013-02-28,1149,109.28,35.84,125562.72,41180.16,84382.56,2013-02-20,473105037,Clothes,109.28,1149,SAVE10,Denmark,10,113006.448,4604
Europe,Germany,Cosmetics,Offline,M,2013-03-31,754046475,2013-05-03,7964,437.2,263.33,3481860.8,2097160.12,1384700.68,2013-03-31,754046475,Cosmetics,437.2,7964,SAVE10,Berlin,10,3133674.7199999997,4565
Middle East and North Africa,Turkey,Fruits,Online,C,2012-03-26,772153747,2012-04-07,6307,9.33,6.92,58844.31,43644.44,15199.87,2012-03-26,772153747,Fruits,9.33,6307,NOCOUP,Turkey,0,58844.31,4935
Europe,United Kingdom,Snacks,Online,H,2012-12-29,847788178,2013-01-15,8217,152.58,97.44,1253749.86,800664.48,453085.38,2012-12-29,847788178,Snacks,152.58,8217,SAVE15,London,15,1065687.381,4657
Asia,Kazakhstan,Cosmetics,Online,H,2015-09-11,471623599,2015-09-18,2758,437.2,263.33,1205797.6,726264.14,479533.46,2015-09-11,471623599,Cosmetics,437.2,2758,SAVE15,Kazakhstan,15,1024927.9599999998,3671
